Nový rok,1.1.
Karina,2.1.
Radmila,3.1.
Diana,4.1.
Dalimil,5.1.
Tři králové,6.1.
Vilma,7.1.
Čestmír,8.1.
Vladan,9.1.
Břetislav,10.1.
Bohdana,11.1.
Pravoslav,12.1.
Edita,13.1.
Radovan,14.1.
Alice,15.1.
Ctirad,16.1.
Drahoslav,17.1.
Vladislav,18.1.
Doubravka,19.1.
Ilona,20.1.
Běla,21.1.
Slavomír,22.1.
Zdeněk,23.1.
Milena,24.1.
Miloš,25.1.
Zora,26.1.
Ingrid,27.1.
Otýlie,28.1.
Zdislava,29.1.
Robin,30.1.
Marika,31.1.
Hynek,1.2.
Nela,2.2.
Blažej,3.2.
Jarmila,4.2.
Dobromila,5.2.
Vanda,6.2.
Veronika,7.2.
Milada,8.2.
Apolena,9.2.
Mojmír,10.2.
Božena,11.2.
Slavěna,12.2.
Věnceslav,13.2.
Valentýn,14.2.
Jiřina,15.2.
Ljuba,16.2.
Miloslava,17.2.
Gizela,18.2.
Patrik,19.2.
Oldřich,20.2.
Lenka,21.2.
Petr,22.2.
Svatopluk,23.2.
Matěj (Matyáš),24.2.
Liliana,25.2.
Dorota,26.2.
Alexandr,27.2.
Lumír,28.2.
Horymír,29.2.
Bedřich,1.3.
Anežka,2.3.
Kamil,3.3.
Stela,4.3.
Kazimir,5.3.
Miroslav,6.3.
Tomáš,7.3.
Gabriela,8.3.
Františka,9.3.
Viktorie,10.3.
Anděla,11.3.
Řehoř,12.3.
Růžena,13.3.
Růt a Matylda,14.3.
Ida,15.3.
Elena a Herbert,16.3.
Vlastimil,17.3.
Eduard,18.3.
Josef,19.3.
Světlana,20.3.
Radek,21.3.
Leona,22.3.
Ivona,23.3.
Gabriel,24.3.
Marian,25.3.
Emanuel,26.3.
Dita,27.3.
Soňa,28.3.
Taťána,29.3.
Arnošt,30.3.
Kvido,31.3.
Hugo,1.4.
Erika,2.4.
Richard,3.4.
Ivana,4.4.
Miroslava,5.4.
Vendula,6.4.
Heřman a Hermína,7.4.
Ema,8.4.
Dušan,9.4.
Darja,10.4.
Izabela,11.4.
Julius,12.4.
Aleš,13.4.
Vincenc,14.4.
Anastázie,15.4.
Irena,16.4.
Rudolf,17.4.
Valérie,18.4.
Rostislav,19.4.
Marcela,20.4.
Alexandra,21.4.
Evženie,22.4.
Vojtěch,23.4.
Jiří,24.4.
Marek,25.4.
Oto,26.4.
Jaroslav,27.4.
Vlastislav,28.4.
Robert,29.4.
Blahoslav,30.4.
Česká republika,1.5.
Zikmund,2.5.
Alexej,3.5.
Květoslav,4.5.
Klaudie,5.5.
Radoslav,6.5.
Stanislav,7.5.
Česká republika,8.5.
Ctibor,9.5.
Blažena,10.5.
Svatava,11.5.
Pankrác,12.5.
Servác,13.5.
Bonifác,14.5.
Žofie,15.5.
Přemysl,16.5.
Aneta,17.5.
Nataša,18.5.
Ivo,19.5.
Zbyšek,20.5.
Monika,21.5.
Emil,22.5.
Vladimír,23.5.
Jana,24.5.
Viola,25.5.
Filip,26.5.
Valdemar,27.5.
Vilém,28.5.
Maxmilián,29.5.
Ferdinand,30.5.
Kamila,31.5.
Laura,1.6.
Jarmil,2.6.
Tamara,3.6.
Dalibor,4.6.
Dobroslav,5.6.
Norbert,6.6.
Iveta a Slavoj,7.6.
Medard,8.6.
Stanislava,9.6.
Gita,10.6.
Bruno,11.6.
Antonie,12.6.
Antonín,13.6.
Roland,14.6.
Vít,15.6.
Zbyněk,16.6.
Adolf,17.6.
Milan,18.6.
Leoš,19.6.
Květa,20.6.
Alois,21.6.
Pavla,22.6.
Zdeňka,23.6.
Jan,24.6.
Ivan,25.6.
Adriana,26.6.
Ladislav,27.6.
Lubomír,28.6.
Petr a Pavel,29.6.
Šárka,30.6.
Jaroslava,1.7.
Patricie,2.7.
Radomír,3.7.
Prokop,4.7.
Cyril a Metoděj,5.7.
Mistr Jan Hus,6.7.
Bohuslava,7.7.
Nora,8.7.
Drahoslava,9.7.
Libuše a Amálie,10.7.
Olga,11.7.
Bořek,12.7.
Markéta,13.7.
Karolína,14.7.
Jindřich,15.7.
Luboš,16.7.
Martina,17.7.
Drahomíra,18.7.
Čeněk,19.7.
Ilja,20.7.
Vítězslav,21.7.
Magdaléna,22.7.
Libor,23.7.
Kristýna,24.7.
Jakub,25.7.
Anna,26.7.
Věroslav,27.7.
Viktor,28.7.
Marta,29.7.
Bořivoj,30.7.
Ignác,31.7.
Oskar,1.8.
Gustav,2.8.
Miluše,3.8.
Dominik,4.8.
Kristian,5.8.
Oldřiška,6.8.
Lada,7.8.
Soběslav,8.8.
Roman,9.8.
Vavřinec,10.8.
Zuzana,11.8.
Klára,12.8.
Alena,13.8.
Alan,14.8.
Hana,15.8.
Jáchym,16.8.
Petra,17.8.
Helena,18.8.
Ludvík,19.8.
Bernard,20.8.
Johana,21.8.
Bohuslav,22.8.
Sandra,23.8.
Bartoloměj,24.8.
Radim,25.8.
Luděk,26.8.
Otakar,27.8.
Augustýn,28.8.
Evelína,29.8.
Vladěna,30.8.
Pavlína,31.8.
Linda a Samuel,1.9.
Adéla,2.9.
Bronislav,3.9.
Jindřiška,4.9.
Boris,5.9.
Boleslav,6.9.
Regína,7.9.
Mariana,8.9.
Daniela,9.9.
Irma,10.9.
Denisa,11.9.
Marie,12.9.
Lubor,13.9.
Radka,14.9.
Jolana,15.9.
Ludmila,16.9.
Naděžda,17.9.
Kryštof,18.9.
Zita,19.9.
Oleg,20.9.
Matouš,21.9.
Darina,22.9.
Berta,23.9.
Jaromír,24.9.
Zlata,25.9.
Andrea,26.9.
Jonáš,27.9.
Václav,28.9.
Michal,29.9.
Jeroným,30.9.
Igor,1.10.
Olivie a Oliver,2.10.
Bohumil,3.10.
František,4.10.
Eliška,5.10.
Hanuš,6.10.
Justýna,7.10.
Věra,8.10.
Štefan a Sára,9.10.
Marina,10.10.
Andrej,11.10.
Marcel,12.10.
Renáta,13.10.
Agáta,14.10.
Tereza,15.10.
Havel,16.10.
Hedvika,17.10.
Lukáš,18.10.
Michaela,19.10.
Vendelín,20.10.
Brigita,21.10.
Sabina,22.10.
Teodor,23.10.
Nina,24.10.
Beáta,25.10.
Erik,26.10.
Šarlota a Zoe,27.10.
Česká republika,28.10.
Silvie,29.10.
Tadeáš,30.10.
Štěpánka,31.10.
Felix,1.11.
Památka zesnulých,2.11.
Hubert,3.11.
Karel,4.11.
Miriam,5.11.
Liběna,6.11.
Saskie,7.11.
Bohumír,8.11.
Bohdan,9.11.
Evžen,10.11.
Martin,11.11.
Benedikt,12.11.
Tibor,13.11.
Sáva,14.11.
Leopold,15.11.
Otmar,16.11.
Mahulena,17.11.
Romana,18.11.
Alžběta,19.11.
Nikola,20.11.
Albert,21.11.
Cecílie,22.11.
Klement,23.11.
Emílie,24.11.
Kateřina,25.11.
Artur,26.11.
Xenie,27.11.
René,28.11.
Zina,29.11.
Ondřej,30.11.
Iva,1.12.
Blanka,2.12.
Svatoslav,3.12.
Barbora,4.12.
Jitka,5.12.
Mikuláš,6.12.
Ambrož a Aenjamín,7.12.
Květoslava,8.12.
Vratislav,9.12.
Julie,10.12.
Dana,11.12.
Simona,12.12.
Lucie,13.12.
Lýdie,14.12.
Radana a Radan,15.12.
Albína,16.12.
Daniel,17.12.
Miloslav,18.12.
Ester,19.12.
Dagmar,20.12.
Natálie,21.12.
Šimon,22.12.
Vlasta,23.12.
Adam a Eva,24.12.
Vánoce,25.12.
Štěpán,26.12.
Žaneta,27.12.
Bohumila,28.12.
Judita,29.12.
David,30.12.
Silvestr,31.12.
